Transaction ID,Date,Customer ID,Gender,Age,Product Category,Quantity,Price per Unit,Total Amount
1,2023-11-24,cust001,male,34,beauty,3,50,150
2,2023-02-27,cust002,female,26,clothing,2,500,1000
3,2023-01-13,cust003,male,50,electronics,1,30,30
4,2023-05-21,cust004,male,37,clothing,1,500,500
5,2023-05-06,cust005,male,30,beauty,2,50,100
6,2023-04-25,cust006,female,45,beauty,1,30,30
7,2023-03-13,cust007,male,46,clothing,2,25,50
8,2023-02-22,cust008,male,30,electronics,4,25,100
9,2023-12-13,cust009,male,63,electronics,2,300,600
10,2023-10-07,cust010,female,52,clothing,4,50,200
11,2023-02-14,cust011,male,23,clothing,2,50,100
12,2023-10-30,cust012,male,35,beauty,3,25,75
13,2023-08-05,cust013,male,22,electronics,3,500,1500
14,2023-01-17,cust014,male,64,clothing,4,30,120
15,2023-01-16,cust015,female,42,electronics,4,500,2000
16,2023-02-17,cust016,male,19,clothing,3,500,1500
17,2023-04-22,cust017,female,27,clothing,4,25,100
18,2023-04-30,cust018,female,47,electronics,2,25,50
19,2023-09-16,cust019,female,62,clothing,2,25,50
20,2023-11-05,cust020,male,22,clothing,3,300,900
21,2023-01-14,cust021,female,50,beauty,1,500,500
22,2023-10-15,cust022,male,18,clothing,2,50,100
23,2023-04-12,cust023,female,35,clothing,4,30,120
24,2023-11-29,cust024,female,49,clothing,1,300,300
25,2023-12-26,cust025,female,64,beauty,1,50,50
26,2023-10-07,cust026,female,28,electronics,2,500,1000
27,2023-08-03,cust027,female,38,beauty,2,25,50
28,2023-04-23,cust028,female,43,beauty,1,500,500
29,2023-08-18,cust029,female,42,electronics,1,30,30
30,2023-10-29,cust030,female,39,beauty,3,300,900
31,2023-05-23,cust031,male,44,electronics,4,300,1200
32,2023-01-04,cust032,male,30,beauty,3,30,90
33,2023-03-23,cust033,female,50,electronics,2,50,100
34,2023-12-24,cust034,female,51,clothing,3,50,150
35,2023-08-05,cust035,female,58,beauty,3,300,900
36,2023-06-24,cust036,male,52,beauty,3,300,900
37,2023-05-23,cust037,female,18,beauty,3,25,75
38,2023-03-21,cust038,male,38,beauty,4,50,200
39,2023-04-21,cust039,male,23,clothing,4,30,120
40,2023-06-22,cust040,male,45,beauty,1,50,50
41,2023-02-22,cust041,male,34,clothing,2,25,50
42,2023-02-17,cust042,male,22,clothing,3,300,900
43,2023-07-14,cust043,female,48,clothing,1,300,300
44,2023-02-19,cust044,female,22,clothing,1,25,25
45,2023-07-03,cust045,female,55,electronics,1,30,30
46,2023-06-26,cust046,female,20,electronics,4,300,1200
47,2023-11-06,cust047,female,40,beauty,3,500,1500
48,2023-05-16,cust048,male,54,electronics,3,300,900
49,2023-01-23,cust049,female,54,electronics,2,500,1000
50,2023-08-24,cust050,female,27,beauty,3,25,75
51,2023-10-02,cust051,male,27,beauty,3,25,75
52,2023-03-05,cust052,female,36,beauty,1,300,300
53,2023-07-13,cust053,male,34,electronics,2,50,100
54,2023-02-10,cust054,female,38,electronics,3,500,1500
55,2023-10-10,cust055,male,31,beauty,4,30,120
56,2023-05-31,cust056,female,26,clothing,3,300,900
57,2023-11-18,cust057,female,63,beauty,1,30,30
58,2023-11-13,cust058,male,18,clothing,4,300,1200
59,2023-07-05,cust059,male,62,clothing,1,50,50
60,2023-10-23,cust060,male,30,beauty,3,50,150
61,2023-04-09,cust061,male,21,beauty,4,50,200
62,2023-12-27,cust062,male,18,beauty,2,50,100
63,2023-02-05,cust063,male,57,electronics,2,25,50
64,2023-01-24,cust064,male,49,clothing,4,25,100
65,2023-12-05,cust065,male,51,electronics,4,500,2000
66,2023-04-27,cust066,female,45,electronics,1,30,30
67,2023-05-29,cust067,female,48,beauty,4,300,1200
68,2023-02-10,cust068,male,25,electronics,1,300,300
69,2023-04-30,cust069,female,56,beauty,3,25,75
70,2023-02-21,cust070,female,43,clothing,1,300,300
71,2023-07-14,cust071,female,51,beauty,4,25,100
72,2023-05-23,cust072,female,20,electronics,4,500,2000
73,2023-08-21,cust073,male,29,electronics,3,30,90
74,2023-11-22,cust074,female,18,beauty,4,500,2000
75,2023-07-06,cust075,male,61,beauty,4,50,200
76,2023-03-25,cust076,female,22,electronics,2,50,100
77,2023-07-09,cust077,female,47,clothing,2,50,100
78,2023-07-01,cust078,female,47,clothing,3,500,1500
79,2023-04-18,cust079,male,34,beauty,1,300,300
80,2023-12-10,cust080,female,64,clothing,2,30,60
81,2023-05-17,cust081,male,40,electronics,1,50,50
82,2023-12-26,cust082,female,32,beauty,4,50,200
83,2023-12-16,cust083,male,54,electronics,2,50,100
84,2023-11-28,cust084,female,38,electronics,3,30,90
85,2023-02-06,cust085,male,31,clothing,3,50,150
86,2023-11-08,cust086,male,19,beauty,3,30,90
87,2023-11-22,cust087,female,28,beauty,2,50,100
88,2023-03-29,cust088,male,56,clothing,1,500,500
89,2023-10-01,cust089,female,55,electronics,4,500,2000
90,2023-05-06,cust090,female,51,electronics,1,30,30
91,2023-03-25,cust091,female,55,electronics,1,500,500
92,2023-08-25,cust092,female,51,electronics,4,30,120
93,2023-07-14,cust093,female,35,beauty,4,500,2000
94,2023-05-19,cust094,female,47,beauty,2,500,1000
95,2023-11-24,cust095,female,32,clothing,2,30,60
96,2023-12-19,cust096,female,44,clothing,2,300,600
97,2023-10-13,cust097,female,51,beauty,2,500,1000
98,2023-04-23,cust098,female,55,beauty,2,50,100
99,2023-12-17,cust099,female,50,electronics,4,300,1200
100,2023-06-16,cust100,male,41,electronics,1,30,30
101,2023-01-29,cust101,male,32,clothing,2,300,600
102,2023-04-28,cust102,female,47,beauty,2,25,50
103,2023-01-17,cust103,female,59,clothing,1,25,25
104,2023-06-11,cust104,female,34,beauty,2,500,1000
105,2023-07-25,cust105,female,22,electronics,1,500,500
106,2023-05-18,cust106,female,46,clothing,1,50,50
107,2023-02-03,cust107,female,21,clothing,4,300,1200
108,2023-04-19,cust108,female,27,beauty,3,25,75
109,2023-10-18,cust109,female,34,electronics,4,500,2000
110,2023-06-11,cust110,male,27,clothing,3,300,900
111,2023-04-19,cust111,female,34,electronics,3,500,1500
112,2023-12-02,cust112,male,37,clothing,3,500,1500
113,2023-09-13,cust113,female,41,electronics,2,25,50
114,2023-07-22,cust114,female,22,beauty,4,25,100
